"id","name","number_of_seasons","number_of_episodes","original_language","vote_count","vote_average","overview","adult","backdrop_path","first_air_date","last_air_date","homepage","in_production","original_name","popularity","poster_path","type","status","tagline","genres","created_by","languages","networks","origin_country","spoken_languages","production_companies","production_countries","episode_run_time"
"0","Game of Thrones","8","73","en","21857","8.442","Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.","False","/2OMB0ynKlyIenMJWI2Dy9IWT4c.jpg","2011-04-17","2019-05-19","http://www.hbo.com/game-of-thrones","False","Game of Thrones","1083.917","/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg","Scripted","Ended","Winter Is Coming","Sci-Fi,Fantasy,Drama,Action,Adventure","David Benioff,D.B. Weiss","en","HBO","US","English","Revolution Sun Studios,Television 360,Generator Entertainment,Bighead Littlehead","United Kingdom,United States of America","0"
"1","Money Heist","3","41","es","17836","8.257","To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","False","/gFZriCkpJYsApPZEF3jhxL4yLzG.jpg","2017-05-02","2021-12-03","https://www.netflix.com/title/80192098","False","La Casa de Papel","96.354","/reEMJA1uzscCbkpeRJeTT2bjqUp.jpg","Scripted","Ended","The perfect robbery.","Crime,Drama","Álex Pina","es","Netflix,Antena 3","ES","Español","Vancouver Media","Spain","70"
"2","Stranger Things","4","34","en","16161","8.624","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.","False","/2MaumbgBlW1NoPo3ZJO38A6v7OS.jpg","2016-07-15","2022-07-01","https://www.netflix.com/title/80057281","True","Stranger Things","185.711","/49WJfeN0moxb9IPfGn8AIqMGskD.jpg","Scripted","Returning Series","Every ending has a beginning.","Drama,Sci-Fi,Fantasy,Mystery","Matt Duffer,Ross Duffer","en","Netflix","US","English","21 Laps Entertainment,Monkey Massacre Productions","United States of America","0"
"3","The Walking Dead","11","177","en","15432","8.121","Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.","False","/x4salpjB11umlUOltfNvSSrjSXm.jpg","2010-10-31","2022-11-20","http://www.amc.com/shows/the-walking-dead--1002293","False","The Walking Dead","489.746","/n7PVu0hSz2sAsVekpOIoCnkWlbn.jpg","Scripted","Ended","Fight the dead. Fear the living.","Action,Adventure,Drama,Sci-Fi,Fantasy","Frank Darabont","en","AMC","US","English","AMC Studios,Circle of Confusion,Valhalla Motion Pictures,Darkwoods Productions,Skybound Entertainment,Idiotbox","United States of America","42"
"4","Lucifer","6","93","en","13870","8.486","Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.","False","/aDBRtunw49UF4XmqfyNuD9nlYIu.jpg","2016-01-25","2021-09-10","https://www.netflix.com/title/80057918","False","Lucifer","416.668","/ekZobS8isE6mA53RAiGDG93hBxL.jpg","Scripted","Ended","It's good to be bad.","Crime,Sci-Fi,Fantasy","Tom Kapinos","en","FOX,Netflix","US","English","Warner Bros. Television,DC Entertainment,Jerry Bruckheimer Television,DC Vertigo","United States of America","45"
"5","Riverdale","7","137","en","13180","8.479","Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.","False","/soQgquPkLmUu9eKLJJzuA4KZDyi.jpg","2017-01-26","2023-08-23","http://www.cwtv.com/shows/riverdale/","False","Riverdale","143.75","/c1ROxK1Afo6YuGi3j6ClXmrNcHi.jpg","Scripted","Ended","To save the future, they must survive the past.","Crime,Drama,Mystery","Roberto Aguirre-Sacasa","en","The CW","US","English","Warner Bros. Television,Berlanti Productions,CBS Studios,Archie Comics","United States of America","45"
"6","Squid Game","2","9","ko","13053","7.831","Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.","False","/2meX1nMdScFOoV4370rqHWKmXhY.jpg","2021-09-17","2021-09-17","https://www.netflix.com/title/810403
"7","Breaking Bad","5","62","en","12398","8.89","When Walter White,a New Mexico chemistry teacher,is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.","False","/tsRy63Mu5cu8etL1X7ZLyf7UP1M.jpg","2008-01-20","2013-09-29","http://www.amc.com/shows/breaking-bad","False","Breaking Bad","247.632","/3xnWaLQjelJDDF7LT1WBo6f4BRe.jpg","Scripted","Ended","Change the equation.","Drama,Crime","Vince Gilligan","en,de,es","AMC","US","English,Deutsch,Español","Sony Pictures Television Studios,High Bridge Productions,Gran Via Productions","United States of America","0"
"8","The Good Doctor","6","116","en","11768","8.503","Shaun Murphy,a young surgeon with autism and savant syndrome,relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him,Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.","False","/xXRsKNJHTOGrs5wfYAxkbM2RiyT.jpg","2017-09-25","2023-05-01","https://abc.com/shows/the-good-doctor","True","The Good Doctor","681.614","/luhKkdD80qe62fwop6sdrXK9jUT.jpg","Scripted","Returning Series","Everyone operates differently.","Drama","David Shore","en","ABC","US","English","ABC Studios,3AD,Sony Pictures Television Studios","United States of America","43"
"9","WandaVision","1","9","en","11308","8.3","Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems.","False","/lOr9NKxh4vMweufMOUDJjJhCRHW.jpg","2021-01-15","2021-03-05","https://www.disneyplus.com/series/wandavision/4SrN28ZjDLwH","False","WandaVision","62.893","/frobUz2X5Pc8OiVZU8Oo5K3NKMM.jpg","Miniseries","Ended","Experience a new vision of reality.","Sci-Fi,Fantasy,Mystery,Drama","Jac Schaeffer","en","Disney+","US","English","Marvel Studios","United States of America","0"
"10","The Big Bang Theory","12","279","en","10322","7.879","Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.","False","/7RySzFeK3LPVMXcPtqfZnl6u4p1.jpg","2007-09-24","2019-05-16","http://www.cbs.com/shows/big_bang_theory/","False","The Big Bang Theory","344.121","/ooBGRQBdbGzBxAVfExiO8r7kloA.jpg","Scripted","Ended","Smart is the new sexy.","Comedy","Chuck Lorre,Bill Prady","en","CBS","US","English","Chuck Lorre Productions,Warner Bros. Television","United States of America","22"
